,tweets,labels
213,assimalhakeem ottomanakh love people rt aasim al hakeem tl see tweets blocked,
214,rt ansari captain see beautiful kid reacting music amp quran may video become eyeopener u quranovermusic http,
215,rt maghrebiqm see location al seen airbase east damascus https co,
216,rt nidalgazaui holy shit us jets ras al ayn northern raqqa strike isis positions https co,
217,anyone slanders islamicstate without daleel taken shari court house whipped hard repent isis,
218,turkey one turkish soldier wounded islamic state fires army outpost near border agency reuters https co,
219,rt daudoo years detention yr old fayiz al kandari released guant namo meets father kuwait https co el,
220,reportersyrien,
221,number syria troops killed ammunitions captured furious fight hawareen state says,
222,rt alwasatengnews sporadic clashes taking place western part benghazi libyan army isis soldier killed htt,
223,terrorists burn innocent ciggerates alive barbaric saveciggerates notinmyname jesuisciggerate ripciggerates,
224,wilayatninawa glimpse work hisba center distributing pamphlet destroy satellite dishes mosul city,
225,shia volunteer fighters say join army battle mosul https co shia militias,
226,amaqagency islamicstate ramadi https co,
227,war hee dheh welcome brother,
228,rt uncle samcoco looks real huh hoax posted mock coconuts,
229,rt hjkdpod islamicstate da wah department provides religious seminars locals debsi area raqqa isis syria https,
230,kafirkaty sassysassyred scotsmaninfidel texanna words bruh,
231,isis affiliated shuhada al yaromuk captured several atgms loads ammunition boxes thakar south syria https co nkjgpvzzny,
232,tajikistan intensifies campaign criminalizing islam muslims https co,
233,rt charles lister people killed last night bombing aleppo al quds hospital took place clearly targeted ht,
234,rt second tyrannical oppressive ruler changes h rulings proof h saying https,
235,twitter support safety https co,
236,rt nidalgazaui breaking amr alfuush commander army division killed today isis assault ramadi https co,
237,wilayatninawa tour sukar neighborhood mosul https co https co,
238,rt klashinki breaking dawlah repelled attack sahwat us air support yani yaban fighters killed https,
239,terrorists amp killers remaining silent crimes rafidha amp alawites worst form supporting terrorism,
240,talk regarding third nullifier light matter https co tmqtajgnsi,
241,rt ramiallolah isis showered ayn al asad air base residential compound housing usa forces rockets artillery roun,
242,battar english https co,
243,saa advance inside qamishli heavy armed tanks entered city,
244,rt pro revolution source favors isis occupying palmyra rather assad says isis bravely resisting russian strikes https,
245,rt orientnewsen breaking belgium begin air strikes syria afp https co,
246,rt arbrelotee guys check emily family say may h pleased https co,
247,rt maghrebiwt libya clashes oil facilities guards sidra amp bin jawad tried advance near positions,
248,rt breaking news us spy lead killing sheikh harith alnadhari coght aqap security branc,
249,wilayatalanbar nature scenery banks al furat river https co https co,
250,rt ramiallolah meanwhile russia n warship novocherkassk near tartus amp usa planes land rmelan carrying tons arms amp weapons,
251,living life russia n war criminals bombed house daraa today goodbye world basma humsi syria https co,
252,quran prophet exhort believers fight,
253,rt green lemonnn france naim al ahmed syrian hama wanted parisattacks dangerous amp possibly armed police https c,
254,urgent bayah confirmed news mujahideen jabhat al nusra within yarmouk camp damascus pledged allegiance,
255,liwa shuhadaa yarmouk mujahideen repelled big attack vso sahwat ayn dhakr killed injured https co eyfnqyhizt,
256,rt khawarijcrucifi dyk history lol https co,
257,photoreport islamicstate aspects frm spoils allah gave soldiers khilafa https co https co fqblqzrdlg,
258,saqr managed obtain sensitive documents shows daesh cooperating asad proves charles lister theory https co swqfgdtvqo,
259,nearly iraqi soldiers killed today anbar province northern ramadi,
